TIC 112243062|HIP 95262|Gaia DR2 6745589980571162752|HD 181720
HIP 95740|HD 183263|TIC 134245358|Gaia DR2 4296208099222829568
HD 185269|TIC 213721036|HIP 96507|Gaia DR2 2031479093959232128
Gaia DR2 6692069568458919040|TIC 300081980|HIP 97546|HD 187085
Gaia DR2 2047452661412980736|HD 187123|TIC 58559140|HIP 97336
HIP 13993|Gaia DR2 5079636934554540160|TIC 71345433|HD 18742
Gaia DR2 2028419118720795392|TIC 11499710|HD 188015|HIP 97769
HIP 98505|HD 189733|Gaia DR2 1827242816201846144|TIC 256364928
Gaia DR2 2029433521248546304|HD 190360|TIC 105999792|HIP 98767
TIC 48777312|Gaia DR2 6697758334244808192|HIP 99115|HD 190647
Gaia DR2 6429295051154269440|TIC 466222634|HD 190984|HIP 99496
Gaia DR2 4224259562941398400|HD 192263|TIC 243962745|HIP 99711
Gaia DR2 6847167606385195648|HIP 99825|HD 192310|TIC 326096771
Gaia DR2 4246124829130366848|HIP 99894|TIC 399334674|HD 192699
HIP 100970|TIC 210171104|Gaia DR2 1815418118373631360|HD 195019
Gaia DR2 6454954010413575296|HIP 101806|TIC 351534793|HD 196050
HD 196885 A|Gaia DR2 1754430373040023168|TIC 282257777|HIP 101966
HIP 101948|Gaia DR2 2066437688140905600|HD 197037|TIC 195382102
Gaia DR2 3265335443260522112|HIP 14954|TIC 49845357|HD 19994
TIC 370137704|HD 20003|HIP 14530|Gaia DR2 4642472794978268800
Kepler-1713|Gaia DR2 2105620159389754624|TIC 158432813
TIC 158489897|Kepler-781|Gaia DR2 2130857627739052928
Gaia DR2 1732018855730384256|HIP 104202|TIC 408316773|HD 200964
Gaia DR2 6832155218215202944|TIC 24294415|HIP 104903|HD 202206
HIP 1931|TIC 281461362|Gaia DR2 4919009555730599936|HD 2039
TIC 99734092|Gaia DR2 6828450688663428224|HD 204313|HIP 106006
Gaia DR2 6830027182179257472|TIC 99837626|HIP 106353|HD 204941
TIC 270501383|HIP 106824|HD 205739|Gaia DR2 6592695123423391616
TIC 333314269|HD 206610|Gaia DR2 2667434008056899712|HIP 107251
TIC 159642390|Kepler-783|Gaia DR2 2129164173675031936
Gaia DR2 5060105892897388288|HIP 15526|TIC 144503312|HD 20781
Gaia DR2 5060104351007433472|TIC 144503325|HD 20782|HIP 15527
Gaia DR2 4847957293277762560|HIP 15510|TIC 301051051|HD 20794
